year,dob,participations,participants
2008,1921,26,3
2008,1922,16,1
2008,1923,23,1
2008,1924,15,3
2008,1925,21,2
2008,1926,35,2
2008,1927,48,7
2008,1928,69,9
2008,1929,108,5
2008,1930,94,8
2008,1931,97,10
2008,1932,161,14
2008,1933,201,16
2008,1934,154,14
2008,1935,147,16
2008,1936,279,27
2008,1937,310,25
2008,1938,293,35
2008,1939,613,51
2008,1940,373,32
2008,1941,618,62
2008,1942,641,61
2008,1943,606,62
2008,1944,419,53
2008,1945,706,75
2008,1946,626,71
2008,1947,872,85
2008,1948,838,72
2008,1949,945,95
2008,1950,570,91
2008,1951,833,100
2008,1952,704,97
2008,1953,567,82
2008,1954,908,116
2008,1955,865,107
2008,1956,917,145
2008,1957,974,123
2008,1958,815,130
2008,1959,962,133
2008,1960,1026,151
2008,1961,1163,171
2008,1962,1611,233
2008,1963,1234,220
2008,1964,1218,189
2008,1965,1193,192
2008,1966,1185,194
2008,1967,1012,150
2008,1968,928,169
2008,1969,732,145
2008,1970,683,141
2008,1971,571,106
2008,1972,636,113
2008,1973,435,86
2008,1974,592,104
2008,1975,699,120
2008,1976,629,106
2008,1977,576,107
2008,1978,560,99
2008,1979,437,106
2008,1980,594,99
2008,1981,715,106
2008,1982,737,120
2008,1983,529,88
2008,1984,523,98
2008,1985,591,101
2008,1986,508,89
2008,1987,696,91
2008,1988,715,119
2008,1989,779,121
2008,1990,1556,256
2008,1991,1656,267
2008,1992,2242,329
2008,1993,2308,315
2008,1994,2481,324
2008,1995,2323,327
2008,1996,2140,397
2008,1997,1645,348
2008,1998,1390,299
2008,1999,837,221
2008,2000,604,199
2008,2001,215,112
2008,2002,122,81
2008,2003,67,41
2008,2004,35,28
2008,2005,22,16
2008,2006,8,4
2008,2007,2,2
2009,1921,20,3
2009,1922,17,1
2009,1923,7,1
2009,1924,5,1
2009,1925,7,1
2009,1926,50,3
2009,1927,39,5
2009,1928,49,6
2009,1929,95,5
2009,1930,93,7
2009,1931,103,8
2009,1932,192,19
2009,1933,203,15
2009,1934,194,17
2009,1935,167,16
2009,1936,299,25
2009,1937,299,28
2009,1938,388,34
2009,1939,729,60
2009,1940,368,41
2009,1941,659,54
2009,1942,576,68
2009,1943,604,57
2009,1944,570,67
2009,1945,781,78
2009,1946,698,77
2009,1947,1026,108
2009,1948,893,85
2009,1949,1100,100
2009,1950,738,110
2009,1951,1001,109
2009,1952,830,106
2009,1953,737,109
2009,1954,1069,121
2009,1955,1017,112
2009,1956,1142,157
2009,1957,1249,159
2009,1958,1017,150
2009,1959,1083,156
2009,1960,1241,165
2009,1961,1448,189
2009,1962,2046,253
2009,1963,1540,221
2009,1964,1581,225
2009,1965,1589,202
2009,1966,1448,223
2009,1967,1448,207
2009,1968,1259,197
2009,1969,1135,188
2009,1970,911,146
2009,1971,770,142
2009,1972,794,128
2009,1973,498,91
2009,1974,794,132
2009,1975,768,108
2009,1976,697,123
2009,1977,662,108
2009,1978,657,111
2009,1979,551,113
2009,1980,782,123
2009,1981,905,129
2009,1982,773,118
2009,1983,653,109
2009,1984,695,101
2009,1985,690,111
2009,1986,533,98
2009,1987,789,116
2009,1988,877,141
2009,1989,919,122
2009,1990,1387,178
2009,1991,1608,194
2009,1992,2196,241
2009,1993,2376,259
2009,1994,2838,309
2009,1995,2914,332
2009,1996,2739,448
2009,1997,2428,438
2009,1998,2240,702
2009,1999,1741,429
2009,2000,1206,384
2009,2001,506,158
2009,2002,291,133
2009,2003,147,75
2009,2004,89,60
2009,2005,41,27
2009,2006,19,16
2009,2007,5,5
2009,2008,6,5
2010,1921,29,3
2010,1922,20,2
2010,1923,44,5
2010,1924,41,7
2010,1925,41,4
2010,1926,75,7
2010,1927,77,10
2010,1928,90,14
2010,1929,151,16
2010,1930,172,20
2010,1931,184,26
2010,1932,342,41
2010,1933,356,39
2010,1934,366,54
2010,1935,319,45
2010,1936,458,60
2010,1937,634,82
2010,1938,753,96
2010,1939,1240,136
2010,1940,747,105
2010,1941,1031,120
2010,1942,1109,142
2010,1943,1195,145
2010,1944,1120,146
2010,1945,1412,166
2010,1946,1287,171
2010,1947,1549,189
2010,1948,1496,186
2010,1949,1735,209
2010,1950,1299,207
2010,1951,1465,185
2010,1952,1343,187
2010,1953,1249,181
2010,1954,1470,197
2010,1955,1537,215
2010,1956,1398,204
2010,1957,1403,184
2010,1958,1433,204
2010,1959,1453,199
2010,1960,1636,237
2010,1961,1507,199
2010,1962,2238,286
2010,1963,1604,244
2010,1964,1739,246
2010,1965,1727,229
2010,1966,1676,237
2010,1967,1524,203
2010,1968,1503,229
2010,1969,1051,179
2010,1970,1087,187
2010,1971,872,160
2010,1972,857,145
2010,1973,632,119
2010,1974,790,131
2010,1975,849,116
2010,1976,500,99
2010,1977,506,92
2010,1978,472,86
2010,1979,330,79
2010,1980,548,91
2010,1981,534,93
2010,1982,536,95
2010,1983,387,66
2010,1984,523,88
2010,1985,425,82
2010,1986,335,66
2010,1987,562,88
2010,1988,513,90
2010,1989,449,68
2010,1990,749,102
2010,1991,816,115
2010,1992,1248,135
2010,1993,1465,216
2010,1994,1870,227
2010,1995,1975,237
2010,1996,2156,272
2010,1997,1981,288
2010,1998,1926,317
2010,1999,1758,334
2010,2000,1350,267
2010,2001,746,202
2010,2002,566,162
2010,2003,302,127
2010,2004,133,74
2010,2005,89,60
2010,2006,69,50
2010,2007,28,20
2010,2008,12,11
2010,2009,5,5
2011,1921,8,1
2011,1922,19,1
2011,1923,20,1
2011,1924,12,1
2011,1925,19,1
2011,1926,23,2
2011,1927,38,3
2011,1928,23,3
2011,1929,63,5
2011,1930,82,8
2011,1931,91,7
2011,1932,120,14
2011,1933,180,11
2011,1934,189,14
2011,1935,138,12
2011,1936,266,21
2011,1937,295,20
2011,1938,342,29
2011,1939,661,46
2011,1940,417,32
2011,1941,606,41
2011,1942,586,52
2011,1943,686,53
2011,1944,624,53
2011,1945,842,63
2011,1946,637,56
2011,1947,918,79
2011,1948,821,62
2011,1949,1090,92
2011,1950,673,99
2011,1951,1061,99
2011,1952,761,84
2011,1953,797,82
2011,1954,1063,109
2011,1955,1056,137
2011,1956,1106,126
2011,1957,1074,132
2011,1958,1043,132
2011,1959,1122,147
2011,1960,1340,142
2011,1961,1606,165
2011,1962,2067,238
2011,1963,1463,178
2011,1964,1792,213
2011,1965,1737,202
2011,1966,1724,217
2011,1967,1698,213
2011,1968,1352,189
2011,1969,1050,172
2011,1970,1080,160
2011,1971,1038,134
2011,1972,942,136
2011,1973,618,118
2011,1974,816,119
2011,1975,914,121
2011,1976,742,111
2011,1977,750,125
2011,1978,632,107
2011,1979,628,110
2011,1980,860,130
2011,1981,831,129
2011,1982,760,122
2011,1983,599,88
2011,1984,823,117
2011,1985,693,106
2011,1986,581,92
2011,1987,758,93
2011,1988,693,112
2011,1989,640,97
2011,1990,938,130
2011,1991,1057,138
2011,1992,1544,148
2011,1993,1604,197
2011,1994,1920,198
2011,1995,2267,219
2011,1996,2548,258
2011,1997,2530,298
2011,1998,2554,327
2011,1999,2644,349
2011,2000,2099,340
2011,2001,1479,260
2011,2002,1163,217
